,ID,cell.names,DepmapModelType,cosmic.id,cell.names_nerd,cell.names.1
938,ACH-000232,U251MG,ASTR,905983,U251,U251
939,ACH-000579,UACC257,MEL,905977,UACC257,UACC-257
940,ACH-000425,UACC62,MEL,905976,UACC62,UACC-62
941,ACH-000568,UACC812,ILC,910910,NA,UACC-812
942,ACH-000554,UACC893,ILC,909778,UACC893,UACC-893
943,ACH-000522,UMUC3,BLCA,724838,NA,UM-UC-3
944,ACH-001417,UMC11,LUCA,909779,NA,UMC-11
945,ACH-001418,UWB1289,SOC,1480374,UWB1289,UWB1.289
946,ACH-001702,VAESBJ,EPIS,688121,VAESBJ,VA-ES-BJ
947,ACH-001703,VAL,DLBCLNOS,1331048,VAL,VAL
948,ACH-000115,VCAP,PRAD,1299075,VCaP,VCaP
949,ACH-001233,VMRCLCD,LUAD,713869,NA,VMRC-LCD
950,ACH-001704,VMRCMELG,MEL,930301,NA,VMRC-MELG
951,ACH-000484,VMRCRCW,RCC,1240224,VMRCRCW,VMRC-RCW
952,ACH-000171,VMRCRCZ,RCC,909781,VMRCRCZ,VMRC-RCZ
953,ACH-002316,WIL2NS,HSP,1331049,NA,WIL2-NS
954,ACH-000304,WM115,MEL,909784,WM115,WM-115
955,ACH-002205,WM1552C,SKCM,1299078,NA,WM1552C
956,ACH-002206,WM278,MEL,1240226,NA,WM278
957,ACH-002207,WM35,MEL,1299080,NA,WM35
958,ACH-000827,WM793,MEL,1299081,WM793B,WM793B
959,ACH-000534,WSUDLCL2,DLBCLNOS,1331050,NA,WSU-DLCL2
960,ACH-001709,WSUNHL,DLBCLNOS,909785,NA,WSU-NHL
961,ACH-000332,YAPC,PAAD,909904,YAPC,YAPC
962,ACH-000469,YH13,GB,909905,YH13,YH-13
963,ACH-000570,YKG1,GB,687592,YKG1,YKG-1
964,ACH-002208,YMB1E,IDC,1303911,NA,YMB-1-E
965,ACH-002317,YT,NHL,946358,NA,YT
966,ACH-000828,ZR7530,ILC,909907,ZR7530,ZR-75-30
